day,product,post_type,theme,suggested_time,caption,hashtags,max_similarity,sources
1,Cookies with Love,Product Spotlight,Corporate,12:30,"Givana, ...",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.0,https://givana.my/product/cookies-with-love; https://givana.my/product/the-beary-crush; https://givana.my/product/wheres-my-love
2,Emerald Indulgence,Gifting Tip,Corporate,12:30,Givana is promoting its online gift shop.,,0.553,https://givana.my/product/box; https://givana.my/product/sakinah-gift; https://givana.my/product/salam-kareem
3,For Ameer,FAQ,Anniversary,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.82,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
4,Raya For Her,Relatable Funny,Birthday,20:45,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.641,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
5,Sakinah Gift,Mini Story,Hari Raya,20:45,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
6,Salam Kareem,Occasion Reminder,Corporate,21:00,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
7,The Beary Crush,Product Spotlight,Thank You,11:00,Givana is promoting the Beary Crush.,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.617,https://givana.my/product/salam-kareem; https://givana.my/product/the-beary-crush
8,The Tranquil Solat,Gifting Tip,Hari Raya,12:30,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/raya-for-her; https://givana.my/product/the-tranquil-solat
9,Where’s My Love,FAQ,Thank You,12:30,"Givana, ...",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/cookies-with-love; https://givana.my/product/wheres-my-love
10,Cookies with Love,Relatable Funny,Thank You,20:45,"Givana, 'Giviana is the best gift shop in Malaysia.",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.843,https://givana.my/product/cookies-with-love; https://givana.my/product/the-beary-crush; https://givana.my/product/wheres-my-love
11,Emerald Indulgence,Mini Story,Birthday,20:45,Givana is promoting its online gift shop.,,1.0,https://givana.my/product/box; https://givana.my/product/sakinah-gift; https://givana.my/product/salam-kareem
12,For Ameer,Occasion Reminder,Hari Raya,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
13,Raya For Her,Product Spotlight,Just Because,11:00,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
14,Sakinah Gift,Gifting Tip,Just Because,11:00,"Givana, emerald indulgence",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/box; https://givana.my/product/raya-for-her; https://givana.my/product/sakinah-gift
15,Salam Kareem,FAQ,Corporate,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/for-ameer; https://givana.my/product/salam-kareem
16,The Beary Crush,Relatable Funny,Hari Raya,20:45,Givana is promoting The Beary Crush.,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/salam-kareem; https://givana.my/product/the-beary-crush
17,The Tranquil Solat,Mini Story,Birthday,20:45,Givana - Malaysian online gift shop,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,1.0,https://givana.my/product/raya-for-her; https://givana.my/product/the-tranquil-solat
18,Where’s My Love,Occasion Reminder,Birthday,12:30,"Givana, aka Where's My Love",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.753,https://givana.my/product/cookies-with-love; https://givana.my/product/wheres-my-love
19,Cookies with Love,Product Spotlight,Thank You,12:30,"Givana, 'Giwanyan Online Gift Shops Malaysia",#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.932,https://givana.my/product/cookies-with-love; https://givana.my/product/the-beary-crush; https://givana.my/product/wheres-my-love
20,Emerald Indulgence,Gifting Tip,Thank You,11:00,Givana is promoting its online gift shop on social media,#Givana #GivanaMY #GiftMalaysia #GiftIdeas #GiftingMadeEasy #Malaysia #GiftBox #Gifting,0.932,https://givana.my/product/box; https://givana.my/product/sakinah-gift; https://givana.my/product/salam-kareem
